time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,9.35,0.1,0.0,0.0
21.0,0.0,17.9,0.36,0.0,0.0
31.0,0.0,20.47,0.62,0.0,0.0
41.0,0.0,23.57,0.86,0.0,0.0
51.0,0.0,23.64,1.15,0.0,0.0
61.0,0.0,24.03,1.43,0.0,0.0
71.0,0.0,23.78,1.72,0.0,0.0
81.0,0.0,24.01,1.95,0.0,0.0
91.0,0.0,24.07,2.16,0.0,0.0
101.0,0.0,23.96,2.42,0.0,0.0
111.0,0.0,24.0,2.71,0.0,0.0
121.0,0.0,23.92,2.92,0.0,0.0
131.0,0.0,24.03,3.2,0.0,0.0
141.0,0.0,24.11,3.54,0.0,0.0
151.0,0.0,24.18,3.7,0.0,0.0
161.0,0.0,24.21,4.09,0.0,0.0
171.0,0.0,24.16,4.3,0.0,0.0
181.0,5.0,26.94,4.56,1.12,0.56
191.0,14.21,26.52,4.77,4.58,1.12
201.0,45.0,40.42,4.96,9.5,0.56
211.0,55.71,43.67,5.28,8.75,1.5
221.0,65.45,46.31,5.46,12.88,2.06
231.0,74.35,46.06,5.71,12.58,4.88
241.0,78.75,46.46,5.97,19.62,5.44
251.0,108.0,44.84,6.22,27.18,5.81
261.0,159.23,44.67,6.29,24.69,2.81
271.0,203.33,44.92,6.61,25.88,4.69
281.0,199.28,43.5,6.87,25.52,6.94
291.0,201.73,43.42,7.15,28.72,8.06
301.0,204.0,42.89,7.36,33.41,9.38
311.0,209.03,41.86,7.67,35.8,10.69
321.0,239.06,41.53,7.87,35.92,9.19
331.0,324.55,42.94,7.98,37.16,6.0
341.0,391.76,43.52,8.18,37.34,6.75
351.0,401.14,43.86,8.56,37.12,7.31
361.0,422.5,42.79,8.73,46.67,8.44
371.0,428.11,41.93,9.02,44.62,10.31
381.0,438.16,41.06,9.14,41.45,10.69
391.0,491.54,41.68,9.38,38.41,6.19
401.0,510.75,41.95,9.65,36.84,7.31
411.0,529.02,42.22,9.9,33.53,9.38
421.0,527.14,41.53,10.21,37.77,10.88
431.0,519.07,40.5,10.46,44.45,12.56
441.0,523.63,39.23,10.64,42.75,14.81
451.0,574.0,40.17,10.69,41.0,9.56
461.0,622.17,40.49,10.9,37.44,11.06
471.0,639.57,39.7,11.1,33.84,14.25
481.0,639.38,39.2,11.43,36.2,15.38
491.0,641.02,38.02,11.58,44.57,17.44
501.0,639.0,37.05,11.84,45.99,19.69
511.0,663.53,36.84,11.81,44.44,16.5
521.0,707.88,37.13,11.85,40.84,16.88
531.0,733.59,36.77,11.93,40.12,19.5
541.0,735.0,35.87,12.11,40.73,21.75
551.0,736.36,34.83,12.21,50.14,24.0
561.0,728.04,34.14,12.5,53.9,26.25
571.0,738.95,32.88,12.53,52.98,25.69
581.0,796.03,33.29,12.47,46.85,21.56
591.0,831.36,35.14,12.44,44.91,22.5
601.0,862.5,35.41,12.56,45.02,24.56
611.0,873.45,33.99,12.66,47.75,28.88
621.0,866.62,33.48,12.9,53.82,30.75
631.0,855.72,32.06,13.16,54.66,33.75
