time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,7.56,0.1,0.0,0.0
21.0,0.0,23.32,0.36,0.0,0.0
31.0,0.0,22.89,0.68,0.0,0.0
41.0,0.0,24.01,0.86,0.0,0.0
51.0,0.0,24.15,1.15,0.0,0.0
61.0,0.0,24.09,1.38,0.0,0.0
71.0,0.0,24.13,1.69,0.0,0.0
81.0,0.0,24.0,1.93,0.0,0.0
91.0,0.0,23.85,2.21,0.0,0.0
101.0,0.0,24.07,2.42,0.0,0.0
111.0,0.0,24.04,2.71,0.0,0.0
121.0,0.0,23.86,2.99,0.0,0.0
131.0,0.0,24.06,3.23,0.0,0.0
141.0,0.0,24.15,3.54,0.0,0.0
151.0,0.0,24.17,3.72,0.0,0.0
161.0,0.0,24.16,3.98,0.0,0.0
171.0,0.0,24.37,4.3,0.0,0.0
181.0,5.0,23.87,4.56,1.5,0.38
191.0,18.95,26.86,4.79,5.5,0.94
201.0,40.5,32.2,5.0,7.88,1.12
211.0,42.86,35.08,5.28,13.4,2.25
221.0,61.36,34.14,5.51,15.74,3.38
231.0,62.61,33.31,5.82,19.44,4.88
241.0,60.0,32.42,6.05,23.74,6.94
251.0,115.2,40.07,6.21,26.55,6.19
261.0,128.08,41.19,6.51,29.52,7.5
271.0,126.67,39.81,6.77,31.66,9.94
281.0,125.36,39.05,7.03,34.0,12.38
291.0,136.55,38.66,7.24,36.75,13.12
301.0,195.0,38.63,7.36,38.61,10.88
311.0,229.35,39.51,7.66,39.11,10.88
321.0,250.31,39.55,7.83,40.56,12.38
331.0,261.82,39.11,8.09,42.13,13.5
341.0,277.94,38.01,8.39,40.4,13.69
351.0,324.0,41.19,8.59,46.84,10.12
361.0,365.0,42.13,8.81,46.3,10.12
371.0,389.19,41.95,8.98,44.58,11.62
381.0,402.63,41.85,9.29,43.11,12.75
391.0,445.38,42.25,9.29,40.89,10.88
401.0,477.0,41.85,9.43,43.03,9.75
411.0,520.24,42.19,9.57,43.34,10.12
421.0,522.86,42.03,9.82,41.43,11.25
431.0,525.35,41.12,10.13,38.97,12.56
441.0,566.59,40.77,10.21,37.05,11.25
451.0,602.0,41.37,10.4,41.02,10.5
461.0,612.39,41.25,10.73,41.38,11.62
471.0,612.77,40.26,10.93,38.85,14.06
481.0,624.38,39.61,11.16,38.02,15.75
491.0,692.45,39.32,11.14,35.84,12.94
501.0,729.0,40.2,11.28,38.73,13.5
511.0,746.47,40.15,11.51,40.41,14.62
521.0,745.96,39.85,11.82,39.64,16.5
531.0,748.87,38.57,11.84,36.86,18.19
541.0,810.0,38.38,11.89,41.41,14.06
551.0,855.82,39.09,11.99,42.2,16.5
561.0,869.47,38.62,12.19,42.32,18.75
571.0,874.74,38.26,12.39,42.52,20.44
581.0,896.89,36.95,12.52,38.98,20.81
591.0,957.97,37.19,12.46,42.7,16.88
601.0,990.0,37.64,12.54,43.21,17.81
611.0,1001.8,37.5,12.76,42.45,20.44
621.0,1013.23,37.23,12.84,43.0,22.31
631.0,1041.43,37.29,12.82,40.19,19.69
641.0,1081.4,38.36,12.96,45.89,17.62
651.0,1103.54,37.83,13.09,44.15,20.62
661.0,1104.55,36.52,13.22,42.6,23.44
671.0,1109.55,35.55,13.4,41.2,27.38
681.0,1152.8,36.09,13.27,41.29,21.0
691.0,1188.26,36.82,13.21,43.67,19.88
701.0,1212.43,37.28,13.38,45.13,18.75
711.0,1229.58,36.66,13.39,43.45,21.56
721.0,1236.25,35.72,13.59,42.18,25.31
731.0,1278.49,35.09,13.47,40.9,21.56
741.0,1314.73,36.66,13.44,41.98,21.19
751.0,1329.6,36.77,13.66,42.5,23.25
761.0,1328.68,36.45,13.79,43.19,25.31
771.0,1333.64,35.98,14.05,42.32,26.81
781.0,1377.69,35.95,13.98,42.95,20.44
791.0,1411.52,36.28,13.92,43.33,21.75
801.0,1426.5,35.54,13.99,43.26,25.12
811.0,1433.33,34.77,14.17,43.33,28.88
821.0,1440.0,33.92,14.3,41.98,28.5
831.0,1473.61,34.87,14.22,44.08,24.56
841.0,1491.43,35.2,14.32,44.27,25.69
851.0,1505.64,35.6,14.39,43.87,26.81
861.0,1504.88,35.41,14.68,44.68,28.5
871.0,1521.72,34.28,14.68,43.07,26.81
881.0,1559.66,35.17,14.54,45.35,25.69
