time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,12.96,0.1,0.0,0.0
21.0,0.0,24.8,0.21,0.0,0.0
31.0,0.0,46.45,0.62,0.0,0.0
41.0,0.0,43.71,1.04,0.0,0.0
51.0,0.0,46.86,1.25,0.0,0.0
61.0,0.0,44.96,1.56,0.0,0.0
71.0,0.0,46.32,1.98,0.0,0.0
81.0,0.0,45.53,2.5,0.0,0.0
91.0,0.0,45.97,2.6,0.0,0.0
101.0,0.0,46.06,2.81,0.0,0.0
111.0,0.0,47.49,3.23,0.0,0.0
121.0,0.0,47.4,3.44,0.0,0.0
131.0,0.0,47.87,3.96,0.0,0.0
141.0,0.0,48.03,4.38,0.0,0.0
151.0,0.0,47.81,4.79,0.0,0.0
161.0,0.0,47.29,5.0,5.0,0.75
171.0,0.0,47.54,5.42,15.0,0.75
181.0,0.0,46.86,6.15,16.0,1.5
191.0,0.0,45.32,6.56,15.0,3.0
201.0,90.0,47.5,6.35,13.0,0.75
211.0,85.71,45.04,6.46,10.25,3.0
221.0,81.82,44.07,6.67,14.57,5.25
231.0,93.91,43.9,6.98,24.57,5.25
241.0,90.0,42.14,7.4,25.2,7.5
251.0,86.4,39.16,7.5,26.21,10.5
261.0,166.15,38.72,7.19,19.62,7.5
271.0,253.33,39.69,6.56,24.67,9.0
281.0,257.14,39.14,6.88,32.08,9.75
