time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,24.97,0.31,0.0,0.0
21.0,0.0,47.18,1.25,0.0,0.0
31.0,0.0,47.96,1.56,0.0,0.0
41.0,0.0,46.64,2.5,0.0,0.0
51.0,0.0,46.76,3.12,0.0,0.0
61.0,0.0,47.36,3.65,0.0,0.0
71.0,0.0,47.69,4.48,0.0,0.0
81.0,0.0,47.49,5.1,0.0,0.0
91.0,0.0,48.21,5.52,0.0,0.0
101.0,0.0,48.35,6.35,0.0,0.0
111.0,0.0,48.12,7.08,0.0,0.0
121.0,0.0,47.91,7.5,0.0,0.0
131.0,0.0,47.96,8.33,0.0,0.0
141.0,0.0,48.14,8.75,0.0,0.0
151.0,0.0,48.26,9.58,0.0,0.0
161.0,0.0,48.37,10.1,0.0,0.0
171.0,0.0,48.22,10.63,0.0,0.0
181.0,40.0,47.61,11.04,4.0,0.75
191.0,56.84,45.83,11.46,8.0,2.25
201.0,108.0,46.24,12.29,9.75,3.0
211.0,120.0,44.42,12.71,12.43,5.25
221.0,130.91,43.47,13.44,16.55,8.25
231.0,187.83,42.66,13.65,22.07,10.5
241.0,210.0,40.78,13.85,23.7,15.0
251.0,259.2,39.62,13.96,28.08,18.75
261.0,332.31,40.84,13.96,28.83,13.5
271.0,440.0,42.32,13.65,40.25,15.0
281.0,437.14,41.49,14.17,44.48,17.25
291.0,434.48,40.29,14.9,44.52,21.75
301.0,444.0,38.46,15.1,48.52,24.75
311.0,452.9,36.76,15.62,48.29,30.75
321.0,495.0,36.99,15.62,48.39,27.75
331.0,567.27,36.48,15.62,43.86,24.75
341.0,635.29,38.06,15.31,52.26,27.0
351.0,637.71,38.15,15.73,64.44,27.0
361.0,650.0,36.98,16.35,64.76,31.5
371.0,671.35,35.48,16.35,68.83,34.5
381.0,672.63,33.49,16.98,60.36,41.25
391.0,729.23,32.83,16.88,49.07,33.75
401.0,783.0,34.35,16.35,43.09,27.75
411.0,860.49,35.28,16.15,47.0,26.25
421.0,882.86,35.47,16.15,53.8,30.0
431.0,912.56,34.31,15.94,64.7,32.25
441.0,908.18,33.93,16.25,67.83,36.0
451.0,936.0,33.55,16.56,59.56,29.25
461.0,993.91,34.76,16.15,53.0,26.25
471.0,1026.38,36.39,15.83,60.03,23.25
481.0,1042.5,34.7,15.73,61.71,29.25
491.0,1043.27,35.41,16.25,72.76,30.75
501.0,1029.6,33.48,16.56,69.02,37.5
511.0,1037.65,33.36,17.08,66.46,33.0
521.0,1086.92,34.43,16.46,58.38,28.5
531.0,1107.17,32.42,16.25,51.1,33.75
541.0,1126.67,32.33,16.04,54.42,38.25
551.0,1145.45,31.86,16.35,60.82,41.25
561.0,1131.43,32.07,16.88,65.5,45.0
571.0,1124.21,30.81,17.4,69.35,43.5
581.0,1154.48,31.65,17.19,56.98,36.0
591.0,1189.83,33.0,17.08,54.88,34.5
601.0,1218.0,33.57,16.88,60.15,38.25
611.0,1227.54,34.39,17.19,68.0,40.5
621.0,1219.35,34.09,17.6,78.0,40.5
631.0,1211.43,33.89,18.02,83.81,42.75
641.0,1237.5,34.19,18.02,78.51,33.75
651.0,1268.31,34.44,17.81,67.81,26.25
661.0,1303.64,34.94,17.5,64.98,29.25
671.0,1327.16,34.59,17.4,78.86,30.75
681.0,1339.41,32.67,17.29,74.06,39.0
691.0,1340.87,31.68,17.81,78.52,42.0
701.0,1342.29,31.85,17.71,79.25,39.75
711.0,1348.73,33.81,18.12,73.78,36.0
721.0,1360.0,35.89,18.12,71.88,36.0
731.0,1356.16,34.74,18.33,75.04,40.5
741.0,1342.7,33.43,18.96,74.87,46.5
751.0,1329.6,33.21,19.79,78.94,50.25
761.0,1326.32,31.31,20.21,80.74,49.5
771.0,1351.17,31.98,20.0,73.27,45.0
781.0,1375.38,32.71,19.79,75.56,43.5
791.0,1380.76,32.46,20.0,73.0,44.25
801.0,1386.0,31.72,20.0,77.65,46.5
811.0,1395.56,30.95,20.0,81.95,51.0
821.0,1400.49,30.59,19.79,92.21,52.5
831.0,1426.99,29.03,19.27,73.77,47.25
841.0,1448.57,30.04,19.06,64.79,39.0
851.0,1469.65,30.65,18.85,62.43,39.0
861.0,1494.42,32.15,18.54,70.84,42.0
871.0,1510.34,32.24,18.54,80.52,44.25
881.0,1513.64,32.25,18.85,85.97,48.75
891.0,1520.9,32.28,18.96,77.14,41.25
901.0,1540.0,33.5,18.54,66.45,31.5
911.0,1566.59,33.32,18.23,64.66,35.25
921.0,1580.87,33.07,17.92,71.65,38.25
931.0,1571.61,32.04,18.12,73.79,42.75
941.0,1558.72,29.75,18.85,72.18,50.25
951.0,1557.47,28.72,19.06,71.85,51.75
961.0,1571.25,29.78,18.75,75.54,47.25
971.0,1584.74,30.05,18.65,81.99,45.0
981.0,1590.61,30.48,18.44,90.95,47.25
991.0,1592.73,28.85,18.54,95.58,51.75
1001.0,1576.8,27.57,18.85,97.6,56.25
1011.0,1568.32,27.7,19.27,100.82,58.5
1021.0,1567.06,27.92,19.69,101.88,54.75
1031.0,1565.83,27.53,20.0,96.93,55.5
1041.0,1571.54,28.24,19.9,100.22,52.5
1051.0,1577.14,28.49,19.9,107.46,54.75
1061.0,1582.64,28.46,20.1,109.58,60.75
1071.0,1581.31,28.82,20.1,119.68,63.0
1081.0,1586.67,28.56,20.31,116.88,57.0
1091.0,1598.53,28.03,20.31,108.35,57.0
1101.0,1600.36,29.28,20.21,109.4,52.5
1111.0,1608.65,29.34,20.31,107.42,51.75
1121.0,1616.79,28.73,20.21,109.45,56.25
1131.0,1618.41,29.45,20.21,115.84,60.0
