epoch,greenTime,reward
1.0,60.0,0.26
2.0,60.0,2.66
3.0,60.0,4.08
4.0,60.0,-2.98
5.0,60.0,-4.28
6.0,60.0,-4.3
7.0,60.0,-4.55
8.0,60.0,-4.99
9.0,60.0,-5.45
10.0,60.0,-5.51
11.0,60.0,-5.35
12.0,60.0,-5.11
13.0,60.0,-5.15
14.0,60.0,-5.43
15.0,60.0,-5.4
16.0,60.0,-5.51
17.0,60.0,-5.69
18.0,60.0,-5.51
19.0,60.0,-5.56
20.0,60.0,-5.82
21.0,60.0,-5.05
22.0,60.0,-5.29
23.0,60.0,-5.53
24.0,60.0,-5.37
25.0,60.0,-5.36
26.0,60.0,-5.55
27.0,60.0,-5.38
28.0,60.0,-5.03
29.0,60.0,-5.08
30.0,60.0,-5.0
31.0,60.0,-4.91
32.0,60.0,-5.08
33.0,60.0,-5.33
34.0,60.0,-4.82
35.0,60.0,-5.03
36.0,60.0,-5.07
37.0,60.0,-5.54
38.0,60.0,-5.52
39.0,60.0,-5.27
40.0,60.0,-5.01
41.0,60.0,-5.45
42.0,60.0,-4.92
43.0,60.0,-5.03
44.0,60.0,-5.15
45.0,60.0,-5.18
46.0,60.0,-5.09
47.0,60.0,-5.4
48.0,60.0,-5.47
49.0,60.0,-5.36
50.0,60.0,-5.36
51.0,60.0,-5.23
52.0,60.0,-5.05
53.0,60.0,-5.27
54.0,60.0,-4.98
55.0,60.0,-5.41
56.0,60.0,-4.96
57.0,60.0,-5.0
58.0,60.0,-5.2
59.0,60.0,-5.29
60.0,60.0,-5.45
61.0,60.0,-5.43
62.0,60.0,-4.98
63.0,60.0,-5.16
64.0,60.0,-5.18
65.0,60.0,-4.9
66.0,60.0,-5.0
67.0,60.0,-5.12
68.0,60.0,-4.76
69.0,60.0,-4.71
70.0,60.0,-5.01
71.0,60.0,-5.33
72.0,60.0,-5.54
73.0,60.0,-5.74
74.0,60.0,-5.44
75.0,60.0,-5.59
76.0,60.0,-5.42
77.0,60.0,-5.3
78.0,60.0,-5.59
79.0,60.0,-5.52
80.0,60.0,-5.43
81.0,60.0,-5.47
82.0,60.0,-5.53
83.0,60.0,-5.32
84.0,60.0,-5.52
85.0,60.0,-5.54
86.0,60.0,-5.68
87.0,60.0,-5.98
88.0,60.0,-5.39
89.0,60.0,-5.27
90.0,60.0,-5.66
91.0,60.0,-5.62
92.0,60.0,-5.25
93.0,60.0,-5.23
94.0,60.0,-5.46
95.0,60.0,-5.56
96.0,60.0,-5.74
97.0,60.0,-5.37
98.0,60.0,-5.15
99.0,60.0,-5.27
100.0,60.0,-5.33
101.0,60.0,-5.19
102.0,60.0,-4.96
103.0,60.0,-4.96
104.0,60.0,-5.26
105.0,60.0,-5.08
106.0,60.0,-5.04
107.0,60.0,-4.83
108.0,60.0,-4.64
109.0,60.0,-4.9
110.0,60.0,-5.06
111.0,60.0,-5.29
112.0,60.0,-5.61
113.0,60.0,-5.77
114.0,60.0,-5.3
115.0,60.0,-5.47
116.0,60.0,-5.18
117.0,60.0,-4.77
118.0,60.0,-5.03
119.0,60.0,-5.29
120.0,60.0,-5.54
121.0,60.0,-5.49
122.0,60.0,-5.5
123.0,60.0,-5.56
124.0,60.0,-5.73
125.0,60.0,-5.97
126.0,60.0,-5.92
127.0,60.0,-5.44
128.0,60.0,-5.55
129.0,60.0,-5.63
130.0,60.0,-5.84
131.0,60.0,-5.45
132.0,60.0,-5.35
133.0,60.0,-5.27
134.0,60.0,-5.3
135.0,60.0,-5.27
136.0,60.0,-5.13
137.0,60.0,-5.35
138.0,60.0,-5.05
139.0,60.0,-5.09
140.0,60.0,-5.4
141.0,60.0,-5.64
142.0,60.0,-5.78
143.0,60.0,-5.8
144.0,60.0,-5.81
145.0,60.0,-5.9
146.0,60.0,-5.39
147.0,60.0,-5.33
148.0,60.0,-5.67
149.0,60.0,-5.36
150.0,60.0,-5.24
151.0,60.0,-5.21
152.0,60.0,-4.91
153.0,60.0,-5.03
154.0,60.0,-5.51
155.0,60.0,-5.74
156.0,60.0,-5.54
157.0,60.0,-5.0
158.0,60.0,-5.06
159.0,60.0,-5.03
160.0,60.0,-5.32
161.0,60.0,-5.19
162.0,60.0,-4.81
163.0,60.0,-4.87
164.0,60.0,-4.98
165.0,60.0,-5.44
166.0,60.0,-5.56
167.0,60.0,-5.12
168.0,60.0,-5.34
169.0,60.0,-5.3
170.0,60.0,-5.14
171,60.0,-4.82
