epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,60.0,0.48
4.0,60.0,0.59
5.0,60.0,1.31
6.0,57.0,2.43
7.0,60.0,3.73
8.0,52.0,4.35
9.0,60.0,4.39
10.0,40.0,4.48
11.0,56.0,4.64
12.0,60.0,4.84
13.0,60.0,4.97
14.0,29.0,4.91
15.0,60.0,4.98
16.0,35.0,4.94
17.0,39.0,4.97
18.0,60.0,5.17
19.0,38.0,5.03
20.0,26.0,5.06
21.0,60.0,5.11
22.0,48.0,5.05
23.0,60.0,5.27
24.0,45.0,5.37
25.0,55.0,5.15
26.0,60.0,5.23
27.0,60.0,5.23
28.0,35.0,5.08
29.0,55.0,5.05
30.0,60.0,5.0
31.0,60.0,5.11
32.0,60.0,5.48
33.0,33.0,5.42
34.0,33.0,5.52
35.0,46.0,5.22
36.0,53.0,5.24
37.0,60.0,5.71
38.0,58.0,5.25
39.0,58.0,5.1
40.0,37.0,5.15
41.0,56.0,5.26
42.0,31.0,5.08
43.0,60.0,5.17
44.0,35.0,5.06
45.0,54.0,5.02
46.0,60.0,5.04
47.0,60.0,5.04
48.0,60.0,5.11
49.0,37.0,5.26
50.0,46.0,5.31
51.0,44.0,5.3
52.0,60.0,5.53
53.0,47.0,5.26
54.0,60.0,5.16
55.0,60.0,5.05
56.0,60.0,5.09
57.0,60.0,5.2
58.0,60.0,5.16
59.0,60.0,5.21
60.0,60.0,5.16
61.0,38.0,5.16
62.0,60.0,5.31
63.0,49.0,5.16
64.0,30.0,5.07
65.0,44.0,5.06
66.0,60.0,5.08
67.0,60.0,5.03
68.0,60.0,5.02
69.0,52.0,5.07
70.0,45.0,5.08
71.0,60.0,5.13
72.0,60.0,5.02
73.0,60.0,5.11
74.0,60.0,5.33
75.0,33.0,6.02
76.0,44.0,5.64
77.0,21.0,5.27
78.0,20.0,5.29
79.0,32.0,5.26
80.0,34.0,5.22
81.0,60.0,5.7
82.0,42.0,5.53
83.0,42.0,5.33
84.0,57.0,5.16
85.0,41.0,5.07
86.0,49.0,5.02
87.0,60.0,5.06
88.0,60.0,5.22
89.0,60.0,5.43
90.0,33.0,5.2
91.0,60.0,5.24
92.0,60.0,5.2
93.0,60.0,5.12
94.0,47.0,5.04
95.0,60.0,5.03
96.0,60.0,5.09
97.0,60.0,5.07
98.0,60.0,5.11
99.0,49.0,5.09
100.0,60.0,5.31
101.0,60.0,5.38
102.0,58.0,5.34
103.0,40.0,5.19
104.0,53.0,5.4
105.0,45.0,5.2
106.0,58.0,5.08
107.0,60.0,5.08
108.0,27.0,5.06
109.0,44.0,5.03
110.0,60.0,5.06
111.0,60.0,5.22
112.0,35.0,5.16
113.0,60.0,5.34
114.0,60.0,5.29
115.0,60.0,5.39
116.0,60.0,5.21
117.0,39.0,5.05
118.0,60.0,5.29
119.0,52.0,5.35
120.0,52.0,5.19
121.0,32.0,5.1
122.0,60.0,5.07
123.0,60.0,5.03
124.0,45.0,5.04
125.0,60.0,5.04
126.0,60.0,5.05
127.0,60.0,5.15
128.0,60.0,5.43
129.0,60.0,5.23
130.0,26.0,5.06
131.0,35.0,5.27
132.0,37.0,5.18
133.0,54.0,5.03
134.0,60.0,5.03
135.0,60.0,5.13
136.0,60.0,5.11
137.0,60.0,5.07
138.0,60.0,5.11
139.0,60.0,5.18
140.0,60.0,5.16
141.0,31.0,5.06
142.0,30.0,5.04
143.0,60.0,5.02
144.0,58.0,5.02
145.0,60.0,5.13
146.0,60.0,5.22
147.0,60.0,5.39
148.0,47.0,5.16
149.0,52.0,5.15
150.0,39.0,5.19
151.0,60.0,5.29
152.0,53.0,5.28
153.0,30.0,5.3
154.0,52.0,5.21
155.0,43.0,5.05
156.0,60.0,5.02
157.0,60.0,5.06
158.0,60.0,5.1
159.0,49.0,5.03
160.0,60.0,5.03
161.0,60.0,5.15
162.0,60.0,5.18
163.0,60.0,5.11
164.0,60.0,5.06
165.0,60.0,5.06
166.0,60.0,5.04
167.0,60.0,5.05
168.0,60.0,5.04
169.0,60.0,5.15
170.0,25.0,5.15
171.0,51.0,5.04
172.0,41.0,5.03
173.0,60.0,5.05
174.0,58.0,5.03
175.0,60.0,5.09
176.0,41.0,5.08
177.0,60.0,5.03
178.0,44.0,5.02
179.0,60.0,5.08
180.0,60.0,5.13
181.0,60.0,5.05
182.0,46.0,5.02
183.0,60.0,5.06
184.0,60.0,5.03
185.0,60.0,5.06
186.0,55.0,5.1
187.0,39.0,5.1
188.0,60.0,5.05
189.0,60.0,5.02
190.0,60.0,5.04
191.0,60.0,5.15
192.0,60.0,5.11
193.0,52.0,5.05
194.0,60.0,5.37
195,30.0,5.26
