time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,37.43,0.42,0.0,0.0
21.0,0.0,48.61,1.46,0.0,0.0
31.0,0.0,46.64,2.71,0.0,0.0
41.0,0.0,48.11,3.33,0.0,0.0
51.0,0.0,48.5,4.69,0.0,0.0
61.0,0.0,48.12,5.31,0.0,0.0
71.0,0.0,47.97,6.56,0.0,0.0
81.0,0.0,47.62,7.5,0.0,0.0
91.0,0.0,48.21,8.12,0.0,0.0
101.0,0.0,47.56,8.85,0.0,0.0
111.0,0.0,47.66,9.58,0.0,0.0
121.0,0.0,47.88,10.62,0.0,0.0
131.0,0.0,47.93,11.25,0.0,0.0
141.0,0.0,48.05,12.29,0.0,0.0
151.0,0.0,48.2,13.54,0.0,0.0
161.0,0.0,48.26,14.17,0.0,0.0
171.0,0.0,48.63,15.21,0.0,0.0
181.0,20.0,46.44,16.15,3.5,3.0
191.0,18.95,45.15,16.88,8.22,6.75
201.0,108.0,45.33,17.4,13.5,6.0
211.0,120.0,44.22,18.12,16.23,9.75
221.0,163.64,41.61,18.65,21.18,12.75
231.0,187.83,40.07,19.38,21.29,21.0
241.0,180.0,38.02,20.21,25.67,27.0
251.0,172.8,37.56,21.15,30.09,33.75
261.0,249.23,37.27,21.35,31.64,27.75
271.0,373.33,35.91,21.04,31.19,32.25
281.0,411.43,35.58,21.56,34.58,39.75
291.0,471.72,35.68,21.88,42.98,42.75
301.0,516.0,35.57,22.08,50.55,45.0
311.0,534.19,35.29,23.12,56.32,48.75
321.0,573.75,33.13,23.44,52.59,51.75
331.0,643.64,32.08,23.33,49.18,49.5
341.0,730.59,33.11,23.23,54.86,46.5
351.0,761.14,33.26,23.85,58.97,47.25
361.0,790.0,33.55,24.38,63.69,53.25
371.0,827.03,33.18,24.48,71.78,57.0
381.0,862.11,32.33,25.1,72.25,63.0
391.0,895.38,32.47,25.1,67.74,54.0
401.0,972.0,32.73,24.79,63.63,51.75
411.0,1000.98,32.46,25.21,59.85,54.0
421.0,1045.71,32.9,25.62,61.52,53.25
431.0,1063.26,32.36,25.83,63.77,59.25
441.0,1080.0,31.64,25.94,70.34,64.5
451.0,1112.0,30.79,26.56,66.14,63.0
461.0,1158.26,31.24,26.46,59.74,58.5
471.0,1217.87,31.35,25.94,55.62,54.75
481.0,1267.5,32.07,26.15,57.1,53.25
491.0,1315.1,32.6,26.04,61.8,51.0
501.0,1317.6,32.0,26.67,63.63,57.75
511.0,1327.06,30.45,27.4,62.06,59.25
