Time,Flow Rate,Speed,Density,Waiting Time,Arrival Rate
3,0.0,13.08,0.51,0,900.0
6,0.0,13.07,0.51,0,514.29
9,0.0,12.97,0.51,0,360.0
12,0.0,50.91,2.55,0,1384.62
15,0.0,50.7,2.55,0,1125.0
18,0.0,48.61,3.57,0,1326.32
21,0.0,45.73,5.11,0,1636.36
24,0.0,47.78,6.13,0,1728.0
27,0.0,49.12,7.15,0,1800.0
30,0.0,47.49,7.66,0,1741.94
33,0.0,48.3,8.68,0,1800.0
36,0.0,47.19,9.7,0,1848.65
39,90.0,47.05,11.74,0,2070.0
42,83.72,46.89,12.77,0,2176.74
45,156.52,45.29,13.79,0,2269.57
48,293.88,42.13,14.3,1.0,2204.08
51,276.92,40.76,15.32,3.0,2215.38
54,261.82,40.42,16.34,5.0,2225.45
57,310.34,39.1,17.87,6.0,2296.55
60,354.1,37.88,19.91,8.0,2478.69
63,337.5,34.85,20.42,10.0,2418.75
66,322.39,37.07,21.45,8.2,2525.37
69,411.43,37.19,21.45,9.89,2468.57
72,542.47,37.29,21.45,10.22,2465.75
75,568.42,34.93,21.96,11.7,2463.16
78,683.54,35.44,24.0,11.69,2551.9
81,702.44,33.96,23.49,13.79,2546.34
84,677.65,32.79,24.51,14.18,2541.18
87,654.55,30.69,25.53,15.58,2536.36
90,712.09,30.89,27.06,16.36,2610.99
93,765.96,30.21,27.06,18.65,2565.96
96,742.27,28.69,27.57,20.83,2560.82
99,756.0,26.31,27.57,20.68,2484.0
102,733.98,27.27,29.62,22.9,2586.41
105,713.21,26.56,30.64,24.39,2581.13
108,693.58,25.98,32.17,27.39,2609.17
111,675.0,25.22,32.68,27.91,2571.43
114,688.7,23.88,33.19,29.31,2566.96
117,701.69,22.95,35.74,29.92,2654.24
120,684.3,23.08,36.76,30.02,2677.69
123,696.77,22.86,36.76,33.02,2641.94
126,680.31,23.22,37.28,33.83,2607.87
129,664.62,23.06,37.28,33.91,2603.08
132,784.96,23.2,38.3,33.56,2652.63
135,820.59,23.95,38.3,33.07,2673.53
138,854.68,23.29,37.28,32.52,2641.73
141,887.32,22.53,37.79,31.52,2661.97
144,968.28,23.17,36.76,33.1,2656.55
147,997.3,22.88,37.79,34.41,2700.0
150,1072.85,20.84,36.76,35.64,2646.36
153,1098.7,21.71,35.74,36.49,2641.56
156,1123.57,21.32,37.79,39.67,2705.73
159,1147.5,21.19,37.28,42.21,2700.0
162,1148.47,21.79,37.79,46.15,2694.48
165,1192.77,20.64,37.28,48.05,2667.47
168,1214.2,17.89,36.25,46.74,2620.12
171,1213.95,19.0,37.28,47.77,2658.14
174,1213.71,18.41,37.79,50.69,2633.14
177,1193.26,18.1,39.32,52.47,2649.44
180,1193.37,17.67,40.34,52.06,2665.19
183,1213.04,16.72,41.36,53.74,2680.43
186,1193.58,16.35,41.36,54.33,2656.68
189,1193.68,16.55,43.4,54.91,2690.53
192,1175.13,16.13,43.91,54.56,2704.66
195,1212.24,15.83,43.4,50.74,2681.63
198,1266.33,16.86,43.91,50.51,2713.57
201,1283.17,17.55,42.89,50.26,2691.09
204,1299.51,19.6,43.4,50.6,2704.39
207,1350.0,19.93,42.89,51.44,2700.0
210,1364.93,20.23,42.38,51.37,2695.73
213,1379.44,19.23,42.38,50.85,2691.59
216,1426.73,19.0,40.85,51.36,2654.38
219,1440.0,19.59,41.87,53.0,2700.0
222,1469.06,18.95,41.36,52.89,2679.82
225,1481.42,19.53,41.87,54.23,2707.96
228,1477.73,19.3,41.87,54.43,2688.21
231,1505.17,19.08,41.87,55.8,2684.48
234,1501.28,18.45,41.87,56.85,2680.85
237,1497.48,16.91,41.36,59.47,2647.06
240,1523.65,15.59,40.34,60.81,2629.05
243,1534.43,14.91,40.85,59.45,2640.98
246,1559.51,15.27,42.38,61.38,2681.78
249,1540.8,16.38,43.4,60.19,2692.8
252,1536.76,15.23,43.91,62.17,2675.1
255,1518.75,15.65,43.91,61.07,2671.88
258,1542.86,16.15,44.93,59.98,2696.53
261,1566.41,18.3,44.42,57.39,2693.13
